timestamp,price_eth,price_steth,steth_eth_ratio,deviation_bps,stress_event,spread_change_3d,early_warning_window
2025-05-31,2524.4762348050726,2522.6655873472946,0.9992827631202011,7.172368797988549,False,-11.241033284067337,False
2025-06-01,2532.3627853090866,2531.327454254195,0.999591160057754,4.088399422460531,False,-4.236640912561596,False
2025-06-02,2538.3300584367485,2535.4321020002376,0.9988583216643246,11.416783356753557,False,-0.7748954284536591,False
2025-06-03,2609.737253959435,2606.5590570029576,0.9987821774197171,12.178225802829123,False,5.005857004840575,False
2025-06-04,2595.4689570062997,2589.8340647729033,0.9978289502487844,21.71049751215626,False,17.622098089695726,True
2025-06-05,2610.343189828259,2608.5498551517744,0.9993129889267156,6.870110732843937,False,-4.54667262390962,False
2025-06-06,2421.601103763502,2421.8469286839127,1.0001015133830375,-1.0151338303754365,False,-13.19335963320456,False
2025-06-07,2481.4039836690267,2480.5864799611154,0.999670547918319,3.2945208168100315,False,-18.415976695346227,False
2025-06-08,2526.291995889778,2525.3066610632004,0.9996099679577102,3.900320422898229,False,-2.969790309945708,False
2025-06-09,2508.784123584585,2507.964625426172,0.9996733484755786,3.266515244213508,False,4.281649074588945,False
2025-06-10,2685.0001850413178,2681.5430405918632,0.9987124230125886,12.875769874114429,False,9.581249057304397,True
2025-06-11,2808.503208314919,2808.3505353442188,0.9999456390257101,0.5436097428990205,False,-3.3567106799992086,False
2025-06-12,2776.1371915822333,2774.895957145206,0.9995528915354792,4.471084645207846,False,1.2045694009943375,False
2025-06-13,2653.158968452672,2651.6988317413966,0.9994496610536205,5.5033894637945835,False,-7.372380410319845,False
2025-06-14,2577.04861752583,2575.8924321901463,0.9995513529206159,4.486470793840791,False,3.9428610509417705,False
2025-06-15,2534.0702195359518,2532.695451520613,0.9994574862193083,5.425137806917002,False,0.9540531617091563,False
2025-06-16,2547.8456040920437,2546.1386313378384,0.9993300328907435,6.699671092564863,False,1.1962816287702793,False
2025-06-17,2561.329843569428,2556.909391253933,0.9982741573379965,17.25842662003485,False,12.77195582619406,True
2025-06-18,2514.986700576147,2514.692388884717,0.9998829768398525,1.1702316014750025,False,-4.2549062054419995,False
2025-06-19,2521.3334233964915,2519.811657542893,0.999396444024627,6.0355597537298245,False,-0.6641113388350384,False
2025-06-20,2522.1791903642184,2522.1703087677733,0.9999964786021235,0.035213978765158416,False,-17.22321264126969,False
2025-06-21,2405.695434213183,2405.7090197056455,1.0000056472204542,-0.05647220454152446,False,-1.226703806016527,False
2025-06-22,2270.581996055585,2278.217032046599,1.0033625898577005,-33.625898577005486,False,-39.661458330735314,False
2025-06-23,2227.4287266371684,2225.398575008448,0.9990885671876085,9.114328123914772,False,9.079114145149614,True
2025-06-24,2423.899644268608,2421.678527476904,0.9990836597558996,9.163402441003665,False,9.21987464554519,True
2025-06-25,2446.539301545049,2445.0681921728424,0.9993986978376854,6.0130216231457645,False,39.63892020015125,True
2025-06-26,2417.2267855277296,2416.678273580911,0.9997730821327554,2.269178672446026,False,-6.845149451468746,False
2025-06-27,2415.031864876594,2413.8272905740973,0.9995012180501567,4.987819498433188,False,-4.175582942570477,False
2025-06-28,2423.0302896731746,2421.0402350845934,0.9991786918235968,8.21308176403246,False,2.200060140886695,False
2025-06-29,2437.133001780241,2435.5345228552565,0.9993441150221112,6.558849778888209,False,4.289671106442183,False
2025-06-30,2502.6672721177083,2502.5933026974553,0.9999704437657067,0.2955623429334864,False,-4.692257155499702,False
